year,iso_code,country,ft_globalclimatephysicalriskindexgcpri
1993,AFG,Afghanistan,4.902387820458363
1994,AFG,Afghanistan,8.853678432676986
1995,AFG,Afghanistan,7.085382612973433
1996,AFG,Afghanistan,1.0761416158157426
1997,AFG,Afghanistan,0.5744219093825392
1998,AFG,Afghanistan,5.892877643120497
1999,AFG,Afghanistan,3.824016076026933
1993,DZA,Algeria,14.92867800748821
1994,DZA,Algeria,15.519830890891626
1995,DZA,Algeria,8.811913615861142
1996,DZA,Algeria,8.24440593895334
1997,DZA,Algeria,7.924130887092811
1998,DZA,Algeria,11.98497987438329
1999,DZA,Algeria,16.868133561009216
1993,ARG,Argentina,13.30713013853948
1994,ARG,Argentina,11.75965445847371
1995,ARG,Argentina,14.519234091506766
1996,ARG,Argentina,12.666642528218276
1997,ARG,Argentina,10.845545935214052
1998,ARG,Argentina,8.028962880779936
1999,ARG,Argentina,13.4699663048362
1993,ARM,Armenia,0.9259259259259258
1994,ARM,Armenia,3.6248497953414303
1995,ARM,Armenia,10.965977608910189
1996,ARM,Armenia,10.545753973266711
1997,ARM,Armenia,5.540892170118664
1998,ARM,Armenia,6.731819164563824
1999,ARM,Armenia,4.192683356648155
1993,ABW,Aruba,7.137679279496269
1994,ABW,Aruba,8.992346064686444
1995,ABW,Aruba,11.657396477158294
1996,ABW,Aruba,7.493254390934539
1997,ABW,Aruba,13.292249624474875
1998,ABW,Aruba,23.893607592480105
1999,ABW,Aruba,19.278611313920035
1993,AUS,Australia,10.267658986253505
1994,AUS,Australia,15.127814578058764
1995,AUS,Australia,13.098224378614193
1996,AUS,Australia,13.466800769499365
1997,AUS,Australia,15.566624848566128
1998,AUS,Australia,15.529299215071031
1999,AUS,Australia,12.254146248876191
1993,AUT,Austria,11.892954106267847
1994,AUT,Austria,11.02841926232608
1995,AUT,Austria,14.116907835667655
1996,AUT,Austria,16.687622105232418
1997,AUT,Austria,13.332613281337066
1998,AUT,Austria,14.928714145985383
1999,AUT,Austria,13.897082513403769
1993,AZE,Azerbaijan,8.355180717533
1994,AZE,Azerbaijan,6.698146279878109
1995,AZE,Azerbaijan,7.76848815225602
1996,AZE,Azerbaijan,8.039093757943803
1997,AZE,Azerbaijan,2.804788661666846
1998,AZE,Azerbaijan,6.844975343991091
1999,AZE,Azerbaijan,9.310881144437356
1993,BHS,Bahamas,4.002618680063623
1994,BHS,Bahamas,2.6126216161141733
1995,BHS,Bahamas,3.111413274704772
1996,BHS,Bahamas,4.016528439438822
1997,BHS,Bahamas,3.1661856747850994
1998,BHS,Bahamas,6.006402175813814
