year,iso_code,country,ft_government_expenditure_on_education
1998,AGO,Angola,6.11468
1999,ATG,Antigua and Barbuda,12.43941
1996,ARG,Argentina,15.39877
1998,ARG,Argentina,15.62126
1999,ARG,Argentina,15.87754
1998,ABW,Aruba,22.08239
1999,ABW,Aruba,19.28166
1999,AUS,Australia,14.126237
1995,AUT,Austria,9.900216
1996,AUT,Austria,9.884146
1997,AUT,Austria,10.371412
1998,AUT,Austria,10.236636
1999,AUT,Austria,10.33584
1980,BGD,Bangladesh,5.2636
1981,BGD,Bangladesh,6.63403
1982,BGD,Bangladesh,6.39411
1983,BGD,Bangladesh,6.47326
1984,BGD,Bangladesh,8.08762
1985,BGD,Bangladesh,8.38863
1986,BGD,Bangladesh,9.13005
1987,BGD,Bangladesh,10.46843
1990,BGD,Bangladesh,11.19103
1991,BGD,Bangladesh,11.0621
1992,BGD,Bangladesh,12.53667
1993,BGD,Bangladesh,12.11385
1997,BGD,Bangladesh,15.19687
1999,BGD,Bangladesh,18.12979
1999,BRB,Barbados,21.1682
1995,BEL,Belgium,11.004421
1996,BEL,Belgium,11.152478
1997,BEL,Belgium,11.271593
1998,BEL,Belgium,11.500825
1999,BEL,Belgium,11.419459
1999,BLZ,Belize,19.28271
1998,BEN,Benin,18.46174
1999,BEN,Benin,17.88519
1983,BWA,Botswana,14.22157
1984,BWA,Botswana,15.38491
1985,BWA,Botswana,15.2745
1986,BWA,Botswana,15.36187
1987,BWA,Botswana,16.55584
1988,BWA,Botswana,15.88075
1990,BWA,Botswana,16.36691
1992,BWA,Botswana,16.16987
1981,BRN,Brunei,13.07099
1982,BRN,Brunei,11.23897
1987,BRN,Brunei,9.58601
1988,BRN,Brunei,11.84343
1989,BRN,Brunei,10.06579
1990,BRN,Brunei,8.71027
1991,BRN,Brunei,8.22682
1992,BRN,Brunei,9.18063
1993,BRN,Brunei,9.276
1998,BRN,Brunei,8.76089
1999,BRN,Brunei,8.89343
1990,BGR,Bulgaria,8.12326
1991,BGR,Bulgaria,10.938029
1992,BGR,Bulgaria,11.91828
1993,BGR,Bulgaria,10.877225
1994,BGR,Bulgaria,9.274445
1995,BGR,Bulgaria,11.420743
1996,BGR,Bulgaria,8.898166
1997,BGR,Bulgaria,10.507133
1998,BGR,Bulgaria,9.749938
1999,BGR,Bulgaria,9.975003
1988,BFA,Burkina Faso,7.21282
1994,BFA,Burkina Faso,19.94968
1996,BFA,Burkina Faso,7.34018
1991,BDI,Burundi,18.86403
1992,BDI,Burundi,18.12272
1994,BDI,Burundi,16.75644
1995,BDI,Burundi,23.79244
1996,BDI,Burundi,16.7136
1999,BDI,Burundi,13.51864
1998,KHM,Cambodia,9.392
1998,CPV,Cape Verde,17.25592
1999,CPV,Cape Verde,16.76194
1990,CAF,Central African Republic,11.14008
1991,CAF,Central African Republic,9.92337
1999,CAF,Central African Republic,8.94932
1997,TCD,Chad,12.89866
1998,TCD,Chad,11.07153
1999,TCD,Chad,17.05998
1993,CHL,Chile,13.51883
1994,CHL,Chile,14.13242
1995,CHL,Chile,15.02462
1996,CHL,Chile,15.75999
1997,CHL,Chile,14.50414
1998,CHL,Chile,15.17037
1999,CHL,Chile,15.65222
1984,COL,Colombia,18.09229
1985,COL,Colombia,16.40752
1989,COL,Colombia,17.22545
1998,COL,Colombia,12.47536
1999,COL,Colombia,13.15193
1998,COM,Comoros,17.13507
1994,COG,Congo,22.41247
1995,COG,Congo,14.70778
1998,COG,Congo,14.12653
1986,CRI,Costa Rica,30.32237
1988,CRI,Costa Rica,18.36396
1989,CRI,Costa Rica,17.65909
1995,CRI,Costa Rica,16.74369
1996,CRI,Costa Rica,19.11466
1999,CRI,Costa Rica,21.92369
1997,CIV,Cote d'Ivoire,19.22015
1998,CIV,Cote d'Ivoire,18.81475
1999,CIV,Cote d'Ivoire,21.67118
1995,HRV,Croatia,10.833236
1996,HRV,Croatia,10.362954
1997,HRV,Croatia,10.350551
1998,HRV,Croatia,11.137027
1999,HRV,Croatia,11.140384
1995,CYP,Cyprus,15.2751465
1996,CYP,Cyprus,14.83483
1997,CYP,Cyprus,14.9711895
1998,CYP,Cyprus,14.905429
1999,CYP,Cyprus,14.977243
1995,CZE,Czechia,9.824183
1996,CZE,Czechia,11.306763
1997,CZE,Czechia,11.010298
1998,CZE,Czechia,10.734224
1999,CZE,Czechia,10.249137
1995,DNK,Denmark,10.877793
1996,DNK,Denmark,11.082393
1997,DNK,Denmark,11.451811
1998,DNK,Denmark,12.075844
1999,DNK,Denmark,11.890104
1999,DJI,Djibouti,22.89607
1998,DMA,Dominica,17.1116
1999,DMA,Dominica,11.41962
1998,ECU,Ecuador,10.84614
1999,ECU,Ecuador,6.66582
1998,GNQ,Equatorial Guinea,5.24814
1996,ERI,Eritrea,2.91513
1998,ERI,Eritrea,6.25092
1999,ERI,Eritrea,5.56554
1995,EST,Estonia,18.478933
1996,EST,Estonia,17.951588
1997,EST,Estonia,17.819181
1998,EST,Estonia,17.407259
1999,EST,Estonia,17.816889
1981,SWZ,Eswatini,23.75299
1982,SWZ,Eswatini,20.37892
1987,SWZ,Eswatini,20.46323
1988,SWZ,Eswatini,21.77708
1989,SWZ,Eswatini,25.08986
1990,SWZ,Eswatini,23.47705
1994,SWZ,Eswatini,20.03243
1995,SWZ,Eswatini,20.65968
1996,SWZ,Eswatini,21.84551
1999,SWZ,Eswatini,20.4332
1980,ETH,Ethiopia,12.35554
1981,ETH,Ethiopia,12.48699
1982,ETH,Ethiopia,12.17817
1983,ETH,Ethiopia,9.70132
1984,ETH,Ethiopia,11.82013
1985,ETH,Ethiopia,10.08913
1986,ETH,Ethiopia,10.32175
1993,ETH,Ethiopia,13.26484
1996,ETH,Ethiopia,13.04414
1997,ETH,Ethiopia,14.86992
1998,FJI,Fiji,19.00093
